Date,VOCI,Levels
12/5/2024 16:55,88,Low VOCs
12/5/2024 16:55,94,Low VOCs
12/5/2024 16:55,99,Low VOCs
12/5/2024 16:55,100,Low VOCs
12/5/2024 16:55,101,Low VOCs
12/5/2024 16:55,100,Low VOCs
12/5/2024 16:55,99,Low VOCs
12/5/2024 16:55,98,Low VOCs
12/5/2024 16:55,97,Low VOCs
12/5/2024 16:55,96,Low VOCs
12/5/2024 16:55,96,Low VOCs
12/5/2024 16:55,96,Low VOCs
12/5/2024 16:55,98,Low VOCs
12/5/2024 16:55,101,Low VOCs
12/5/2024 16:55,104,Low VOCs
12/5/2024 16:55,108,Low VOCs
2024-12-05 16:55:27,120,Low VOCs
2024-12-05 16:55:28,127,Low VOCs
2024-12-05 16:55:30,134,Low VOCs
2024-12-05 16:55:31,142,Low VOCs
2024-12-05 16:55:33,150,Low VOCs
2024-12-05 16:55:35,158,Low VOCs
2024-12-05 16:55:36,164,Low VOCs
2024-12-05 16:55:38,171,Low VOCs
2024-12-05 16:55:39,178,Low VOCs
2024-12-05 16:55:41,186,Low VOCs
2024-12-05 16:55:42,194,Low VOCs
2024-12-05 16:55:44,203,Moderate VOCs
2024-12-05 16:55:45,211,Moderate VOCs
2024-12-05 16:55:47,218,Moderate VOCs
2024-12-05 16:55:48,224,Moderate VOCs
2024-12-05 16:55:50,229,Moderate VOCs
2024-12-05 16:55:51,232,Moderate VOCs
2024-12-05 16:55:53,235,Moderate VOCs
2024-12-05 16:55:54,238,Moderate VOCs
2024-12-05 16:56:02,0,Low VOCs
2024-12-05 16:56:04,0,Low VOCs
2024-12-05 16:56:05,0,Low VOCs
2024-12-05 16:56:07,0,Low VOCs
2024-12-05 16:56:08,0,Low VOCs
2024-12-05 16:56:10,0,Low VOCs
2024-12-05 16:56:11,0,Low VOCs
2024-12-05 16:56:13,0,Low VOCs
2024-12-05 16:56:14,0,Low VOCs
2024-12-05 16:56:18,0,Low VOCs
2024-12-05 16:56:19,0,Low VOCs
2024-12-05 16:56:21,0,Low VOCs
2024-12-05 16:56:22,0,Low VOCs
2024-12-05 16:56:24,0,Low VOCs
2024-12-05 16:56:25,0,Low VOCs
2024-12-05 16:56:27,0,Low VOCs
2024-12-05 16:56:28,0,Low VOCs
2024-12-05 16:56:30,0,Low VOCs
2024-12-05 16:56:31,0,Low VOCs
2024-12-05 16:56:33,0,Low VOCs
2024-12-05 16:56:34,0,Low VOCs
2024-12-05 16:56:36,0,Low VOCs
2024-12-05 16:56:37,0,Low VOCs
2024-12-05 16:56:39,0,Low VOCs
2024-12-05 16:56:42,0,Low VOCs
2024-12-05 16:56:43,0,Low VOCs
2024-12-05 16:56:45,0,Low VOCs
2024-12-05 16:56:46,0,Low VOCs
2024-12-05 16:56:48,0,Low VOCs
2024-12-05 16:56:49,0,Low VOCs
2024-12-05 16:56:51,0,Low VOCs
2024-12-05 16:56:52,0,Low VOCs
2024-12-05 16:56:54,0,Low VOCs
2024-12-05 16:56:55,0,Low VOCs
2024-12-05 16:56:57,0,Low VOCs
2024-12-05 16:56:58,0,Low VOCs
2024-12-05 16:57:00,0,Low VOCs
2024-12-05 16:57:01,0,Low VOCs
2024-12-05 16:57:03,0,Low VOCs
2024-12-05 16:57:04,0,Low VOCs
2024-12-05 16:57:08,0,Low VOCs
2024-12-05 16:57:09,0,Low VOCs
2024-12-05 16:57:11,0,Low VOCs
2024-12-05 16:57:12,1,Low VOCs
2024-12-05 16:57:14,1,Low VOCs
2024-12-05 16:57:15,1,Low VOCs
2024-12-05 16:57:17,2,Low VOCs
2024-12-05 16:57:18,4,Low VOCs
2024-12-05 16:57:20,6,Low VOCs
2024-12-05 16:57:21,8,Low VOCs
2024-12-05 16:57:23,10,Low VOCs
2024-12-05 16:57:24,13,Low VOCs
2024-12-05 16:57:26,15,Low VOCs
2024-12-05 16:57:27,17,Low VOCs
2024-12-05 16:57:29,20,Low VOCs
2024-12-05 16:57:32,25,Low VOCs
2024-12-05 16:57:33,28,Low VOCs
2024-12-05 16:57:35,30,Low VOCs
2024-12-05 16:57:36,32,Low VOCs
2024-12-05 16:57:38,34,Low VOCs
2024-12-05 16:57:39,36,Low VOCs
2024-12-05 16:57:41,39,Low VOCs
2024-12-05 16:57:42,41,Low VOCs
2024-12-05 16:57:44,43,Low VOCs
2024-12-05 16:57:45,46,Low VOCs
2024-12-05 16:57:47,51,Low VOCs
2024-12-05 16:57:48,55,Low VOCs
2024-12-05 16:57:50,60,Low VOCs
2024-12-05 16:57:51,63,Low VOCs
2024-12-05 16:57:53,66,Low VOCs
2024-12-05 16:57:54,68,Low VOCs
2024-12-05 16:57:57,70,Low VOCs
2024-12-05 16:57:59,71,Low VOCs
2024-12-05 16:58:00,71,Low VOCs
2024-12-05 16:58:02,71,Low VOCs
2024-12-05 16:58:03,71,Low VOCs
2024-12-05 16:58:05,71,Low VOCs
2024-12-05 16:58:06,70,Low VOCs
2024-12-05 16:58:08,70,Low VOCs
2024-12-05 16:58:09,69,Low VOCs
2024-12-05 16:58:11,68,Low VOCs
2024-12-05 16:58:12,68,Low VOCs
2024-12-05 16:58:14,67,Low VOCs
2024-12-05 16:58:15,67,Low VOCs
2024-12-05 16:58:17,66,Low VOCs
2024-12-05 16:58:18,66,Low VOCs
2024-12-05 16:58:20,66,Low VOCs
2024-12-05 16:58:21,66,Low VOCs
2024-12-05 16:58:23,66,Low VOCs
2024-12-05 16:58:25,66,Low VOCs
2024-12-05 16:58:26,66,Low VOCs
2024-12-05 16:58:28,67,Low VOCs
2024-12-05 16:58:29,67,Low VOCs
2024-12-05 16:58:31,67,Low VOCs
2024-12-05 16:58:32,67,Low VOCs
2024-12-05 16:58:34,67,Low VOCs
2024-12-05 16:58:35,67,Low VOCs
2024-12-05 16:58:37,68,Low VOCs
2024-12-05 16:58:38,68,Low VOCs
2024-12-05 16:58:40,68,Low VOCs
2024-12-05 16:58:41,69,Low VOCs
2024-12-05 16:58:43,69,Low VOCs
2024-12-05 16:58:44,70,Low VOCs
2024-12-05 16:58:47,71,Low VOCs
2024-12-05 16:58:49,71,Low VOCs
2024-12-05 16:58:50,72,Low VOCs
2024-12-05 16:58:52,73,Low VOCs
2024-12-05 16:58:53,73,Low VOCs
2024-12-05 16:58:55,74,Low VOCs
2024-12-05 16:58:56,75,Low VOCs
2024-12-05 16:58:58,75,Low VOCs
2024-12-05 16:58:59,76,Low VOCs
2024-12-05 16:59:01,77,Low VOCs
2024-12-05 16:59:02,77,Low VOCs
2024-12-05 16:59:04,78,Low VOCs
2024-12-05 16:59:05,78,Low VOCs
2024-12-05 16:59:07,78,Low VOCs
2024-12-05 16:59:08,78,Low VOCs
2024-12-05 16:59:10,78,Low VOCs
2024-12-05 16:59:11,78,Low VOCs
2024-12-05 16:59:13,78,Low VOCs
2024-12-05 16:59:14,78,Low VOCs
2024-12-05 16:59:16,78,Low VOCs
2024-12-05 16:59:17,79,Low VOCs
2024-12-05 16:59:19,79,Low VOCs
2024-12-05 16:59:20,79,Low VOCs
2024-12-05 16:59:22,79,Low VOCs
2024-12-05 16:59:23,79,Low VOCs
2024-12-05 16:59:25,80,Low VOCs
2024-12-05 16:59:26,80,Low VOCs
2024-12-05 16:59:28,80,Low VOCs
2024-12-05 16:59:29,81,Low VOCs
2024-12-05 16:59:31,81,Low VOCs
2024-12-05 16:59:32,81,Low VOCs
2024-12-05 16:59:34,82,Low VOCs
2024-12-05 16:59:37,83,Low VOCs
2024-12-05 16:59:38,84,Low VOCs
2024-12-05 16:59:40,84,Low VOCs
2024-12-05 16:59:41,85,Low VOCs
2024-12-05 16:59:43,86,Low VOCs
2024-12-05 16:59:44,86,Low VOCs
2024-12-05 16:59:46,87,Low VOCs
2024-12-05 16:59:47,88,Low VOCs
2024-12-05 16:59:49,89,Low VOCs
2024-12-05 16:59:50,92,Low VOCs
2024-12-05 16:59:52,96,Low VOCs
2024-12-05 16:59:53,99,Low VOCs
2024-12-05 16:59:55,102,Low VOCs
2024-12-05 16:59:57,103,Low VOCs
2024-12-05 16:59:58,104,Low VOCs
2024-12-05 17:00:00,104,Low VOCs
2024-12-05 17:00:01,104,Low VOCs
2024-12-05 17:00:03,103,Low VOCs
2024-12-05 17:00:04,103,Low VOCs
2024-12-05 17:00:06,103,Low VOCs
2024-12-05 17:00:07,106,Low VOCs
2024-12-05 17:00:09,110,Low VOCs
2024-12-05 17:00:10,114,Low VOCs
2024-12-05 17:00:12,117,Low VOCs
2024-12-05 17:00:13,118,Low VOCs
2024-12-05 17:00:15,118,Low VOCs
2024-12-05 17:00:16,118,Low VOCs
2024-12-05 17:00:18,117,Low VOCs
2024-12-05 17:00:19,117,Low VOCs
2024-12-05 17:00:21,116,Low VOCs
2024-12-05 17:00:22,115,Low VOCs
2024-12-05 17:00:24,113,Low VOCs
2024-12-05 17:00:27,111,Low VOCs
2024-12-05 17:00:28,111,Low VOCs
2024-12-05 17:00:30,110,Low VOCs
2024-12-05 17:00:31,109,Low VOCs
2024-12-05 17:00:33,109,Low VOCs
2024-12-05 17:00:34,108,Low VOCs
2024-12-05 17:00:36,107,Low VOCs
2024-12-05 17:00:37,106,Low VOCs
2024-12-05 17:00:39,105,Low VOCs
2024-12-05 17:00:40,104,Low VOCs
2024-12-05 17:00:42,103,Low VOCs
2024-12-05 17:00:43,102,Low VOCs
2024-12-05 17:00:45,101,Low VOCs
2024-12-05 17:00:46,100,Low VOCs
2024-12-05 17:00:48,98,Low VOCs
2024-12-05 17:00:49,97,Low VOCs
2024-12-05 17:00:52,96,Low VOCs
2024-12-05 17:00:54,95,Low VOCs
2024-12-05 17:00:55,95,Low VOCs
2024-12-05 17:00:57,95,Low VOCs
2024-12-05 17:00:58,95,Low VOCs
2024-12-05 17:01:00,96,Low VOCs
2024-12-05 17:01:01,96,Low VOCs
2024-12-05 17:01:03,96,Low VOCs
2024-12-05 17:01:04,96,Low VOCs
2024-12-05 17:01:06,95,Low VOCs
2024-12-05 17:01:07,95,Low VOCs
2024-12-05 17:01:09,94,Low VOCs
2024-12-05 17:01:10,93,Low VOCs
2024-12-05 17:01:12,92,Low VOCs
2024-12-05 17:01:13,92,Low VOCs
2024-12-05 17:01:15,91,Low VOCs
2024-12-05 17:01:16,91,Low VOCs
2024-12-05 17:01:18,92,Low VOCs
2024-12-05 17:01:19,92,Low VOCs
2024-12-05 17:01:21,91,Low VOCs
2024-12-05 17:01:22,91,Low VOCs
2024-12-05 17:01:24,91,Low VOCs
2024-12-05 17:01:25,91,Low VOCs
2024-12-05 17:01:27,91,Low VOCs
2024-12-05 17:01:28,91,Low VOCs
2024-12-05 17:01:30,92,Low VOCs
2024-12-05 17:01:32,92,Low VOCs
2024-12-05 17:01:33,93,Low VOCs
2024-12-05 17:01:35,94,Low VOCs
2024-12-05 17:01:36,95,Low VOCs
2024-12-05 17:01:38,96,Low VOCs
2024-12-05 17:01:39,97,Low VOCs
2024-12-05 17:11:32,0,Low VOCs
2024-12-05 17:11:33,0,Low VOCs
2024-12-05 17:11:35,0,Low VOCs
2024-12-05 17:11:36,0,Low VOCs
2024-12-05 17:11:38,0,Low VOCs
2024-12-05 17:11:39,0,Low VOCs
2024-12-05 17:11:42,0,Low VOCs
2024-12-05 17:11:44,0,Low VOCs
2024-12-05 17:11:45,0,Low VOCs
2024-12-05 17:11:47,0,Low VOCs
2024-12-05 17:11:48,0,Low VOCs
2024-12-05 17:11:50,0,Low VOCs
2024-12-05 17:11:51,0,Low VOCs
2024-12-05 17:11:53,0,Low VOCs
2024-12-05 17:11:54,0,Low VOCs
2024-12-05 17:11:56,0,Low VOCs
2024-12-05 17:11:57,0,Low VOCs
2024-12-05 17:11:59,0,Low VOCs
2024-12-05 17:12:00,0,Low VOCs
2024-12-05 17:12:02,0,Low VOCs
2024-12-05 17:12:03,0,Low VOCs
2024-12-05 17:12:05,0,Low VOCs
2024-12-05 17:12:06,0,Low VOCs
2024-12-05 17:12:08,0,Low VOCs
2024-12-05 17:12:09,0,Low VOCs
2024-12-05 17:12:11,0,Low VOCs
2024-12-05 17:12:12,0,Low VOCs
2024-12-05 17:12:14,0,Low VOCs
2024-12-05 17:12:15,0,Low VOCs
2024-12-05 17:12:17,0,Low VOCs
2024-12-05 17:12:18,0,Low VOCs
2024-12-05 17:12:20,0,Low VOCs
2024-12-05 17:12:21,0,Low VOCs
2024-12-05 17:12:23,0,Low VOCs
2024-12-05 17:12:24,0,Low VOCs
2024-12-05 17:12:26,0,Low VOCs
2024-12-05 17:12:27,0,Low VOCs
2024-12-05 17:12:29,0,Low VOCs
2024-12-05 17:12:32,0,Low VOCs
2024-12-05 17:12:34,0,Low VOCs
2024-12-05 17:12:35,0,Low VOCs
2024-12-05 17:12:37,0,Low VOCs
2024-12-05 17:12:38,0,Low VOCs
2024-12-05 17:12:40,0,Low VOCs
2024-12-05 17:12:41,1,Low VOCs
2024-12-05 17:12:43,1,Low VOCs
2024-12-05 17:12:44,1,Low VOCs
2024-12-05 17:12:46,3,Low VOCs
2024-12-05 17:12:47,6,Low VOCs
2024-12-05 17:12:49,9,Low VOCs
2024-12-05 17:12:50,13,Low VOCs
2024-12-05 17:12:52,17,Low VOCs
2024-12-05 17:12:53,21,Low VOCs
2024-12-05 17:12:55,24,Low VOCs
2024-12-05 17:12:56,28,Low VOCs
2024-12-05 17:12:58,32,Low VOCs
2024-12-05 17:12:59,35,Low VOCs
2024-12-05 17:13:01,38,Low VOCs
2024-12-05 17:13:02,41,Low VOCs
2024-12-05 17:13:04,44,Low VOCs
2024-12-05 17:13:05,47,Low VOCs
2024-12-05 17:13:07,50,Low VOCs
2024-12-05 17:13:08,52,Low VOCs
2024-12-05 17:13:10,54,Low VOCs
2024-12-05 17:13:11,56,Low VOCs
2024-12-05 17:13:13,58,Low VOCs
2024-12-05 17:13:14,61,Low VOCs
2024-12-05 17:13:16,62,Low VOCs
2024-12-05 17:13:17,64,Low VOCs
2024-12-05 17:13:19,66,Low VOCs
2024-12-05 17:13:22,69,Low VOCs
2024-12-05 17:13:23,70,Low VOCs
2024-12-05 17:13:25,72,Low VOCs
2024-12-05 17:13:26,73,Low VOCs
2024-12-05 17:13:28,74,Low VOCs
2024-12-05 17:13:29,75,Low VOCs
2024-12-05 17:13:31,76,Low VOCs
2024-12-05 17:13:32,77,Low VOCs
2024-12-05 17:13:34,78,Low VOCs
2024-12-05 17:13:35,78,Low VOCs
2024-12-05 17:13:37,79,Low VOCs
2024-12-05 17:13:38,80,Low VOCs
2024-12-05 17:13:40,80,Low VOCs
2024-12-05 17:13:41,81,Low VOCs
2024-12-05 17:13:43,82,Low VOCs
2024-12-05 17:13:44,82,Low VOCs
2024-12-05 17:13:48,84,Low VOCs
2024-12-05 17:13:49,84,Low VOCs
2024-12-05 17:13:51,85,Low VOCs
2024-12-05 17:13:52,86,Low VOCs
2024-12-05 17:13:54,86,Low VOCs
2024-12-05 17:13:55,87,Low VOCs
2024-12-05 17:13:57,87,Low VOCs
2024-12-05 17:13:58,88,Low VOCs
2024-12-05 17:14:00,89,Low VOCs
2024-12-05 17:14:01,89,Low VOCs
2024-12-05 17:14:03,90,Low VOCs
2024-12-05 17:14:04,91,Low VOCs
2024-12-05 17:14:06,91,Low VOCs
2024-12-05 17:14:07,92,Low VOCs
2024-12-05 17:14:09,93,Low VOCs
2024-12-05 17:14:12,95,Low VOCs
2024-12-05 17:14:13,95,Low VOCs
2024-12-05 17:14:15,96,Low VOCs
2024-12-05 17:14:16,96,Low VOCs
2024-12-05 17:14:18,97,Low VOCs
2024-12-05 17:14:19,97,Low VOCs
2024-12-05 17:14:21,98,Low VOCs
2024-12-05 17:14:22,98,Low VOCs
2024-12-05 17:14:24,98,Low VOCs
2024-12-05 17:14:25,99,Low VOCs
2024-12-05 17:14:27,99,Low VOCs
2024-12-05 17:14:28,99,Low VOCs
2024-12-05 17:14:30,99,Low VOCs
2024-12-05 17:14:31,100,Low VOCs
2024-12-05 17:14:33,100,Low VOCs
2024-12-05 17:14:34,100,Low VOCs
2024-12-05 17:14:37,100,Low VOCs
2024-12-05 17:14:39,101,Low VOCs
2024-12-05 17:14:40,101,Low VOCs
2024-12-05 17:14:42,101,Low VOCs
2024-12-05 17:14:43,101,Low VOCs
2024-12-05 17:14:45,101,Low VOCs
2024-12-05 17:14:46,102,Low VOCs
2024-12-05 17:14:48,102,Low VOCs
2024-12-05 17:14:49,102,Low VOCs
2024-12-05 17:14:51,102,Low VOCs
2024-12-05 17:14:52,102,Low VOCs
2024-12-05 17:14:54,103,Low VOCs
2024-12-05 17:14:55,103,Low VOCs
2024-12-05 17:14:57,103,Low VOCs
2024-12-05 17:14:58,103,Low VOCs
2024-12-05 17:15:00,104,Low VOCs
2024-12-05 17:15:01,104,Low VOCs
2024-12-05 17:15:03,105,Low VOCs
2024-12-05 17:15:04,105,Low VOCs
2024-12-05 17:15:06,106,Low VOCs
2024-12-05 17:15:07,107,Low VOCs
2024-12-05 17:15:09,107,Low VOCs
2024-12-05 17:15:10,108,Low VOCs
2024-12-05 17:15:12,108,Low VOCs
2024-12-05 17:15:13,109,Low VOCs
2024-12-05 17:15:15,110,Low VOCs
2024-12-05 17:15:17,110,Low VOCs
2024-12-05 17:15:18,110,Low VOCs
2024-12-05 17:15:20,111,Low VOCs
2024-12-05 17:15:21,111,Low VOCs
2024-12-05 17:15:23,111,Low VOCs
2024-12-05 17:15:24,112,Low VOCs
2024-12-05 17:15:27,112,Low VOCs
2024-12-05 17:15:29,112,Low VOCs
2024-12-05 17:15:30,112,Low VOCs
2024-12-05 17:15:32,112,Low VOCs
2024-12-05 17:15:33,112,Low VOCs
2024-12-05 17:15:35,112,Low VOCs
2024-12-05 17:15:36,112,Low VOCs
2024-12-05 17:15:38,112,Low VOCs
2024-12-05 17:15:39,112,Low VOCs
2024-12-05 17:15:41,112,Low VOCs
2024-12-05 17:15:42,112,Low VOCs
2024-12-05 17:15:44,112,Low VOCs
2024-12-05 17:15:45,111,Low VOCs
2024-12-05 17:15:47,111,Low VOCs
2024-12-05 17:15:48,111,Low VOCs
2024-12-05 17:15:50,111,Low VOCs
2024-12-05 17:15:51,111,Low VOCs
2024-12-05 17:15:53,110,Low VOCs
2024-12-05 17:15:54,110,Low VOCs
2024-12-05 17:15:56,110,Low VOCs
2024-12-05 17:15:57,109,Low VOCs
2024-12-05 17:15:59,109,Low VOCs
2024-12-05 17:16:00,109,Low VOCs
2024-12-05 17:16:02,109,Low VOCs
2024-12-05 17:16:03,109,Low VOCs
2024-12-05 17:16:05,108,Low VOCs
2024-12-05 17:16:06,108,Low VOCs
2024-12-05 17:16:08,108,Low VOCs
2024-12-05 17:16:09,107,Low VOCs
2024-12-05 17:16:11,107,Low VOCs
2024-12-05 17:16:12,106,Low VOCs
2024-12-05 17:16:14,105,Low VOCs
2024-12-05 17:16:17,104,Low VOCs
2024-12-05 17:16:18,104,Low VOCs
